INDUSTRY_GROUP,CYCLE_PHASE,CYCLE_ICON,SECTOR_RS,SECTOR_RS_STATUS,RETURN_6M_PCT,NIFTY_6M_PCT,RETURN_1Y_MED,RETURN_3M_MED,RETURN_1M_MED,RETURN_1W_MED,MOMENTUM_MONTHLY_3M,MOMENTUM_MONTHLY_1M,MOMENTUM_ACCELERATION,STOCK_COUNT,CYCLE_NOTE,AS_OF_DATE
Diversified FMCG,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-11.97,-5.31,-6.3,-1.49,-1.77,-6.3,-4.53,5,Underperforming and still falling (-4.5%/mo delta). Avoid — let correction complete. 3M: -5.3%,2026-03-17
Diversified Metals,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,48.6,-9.33,-11.66,0.49,-3.11,-11.66,-8.55,5,Underperforming and still falling (-8.6%/mo delta). Avoid — let correction complete. 3M: -9.3%,2026-03-17
Electrical Equipment,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-6.1,-14.93,-10.12,0.0,-4.98,-10.12,-5.14,121,Underperforming and still falling (-5.1%/mo delta). Avoid — let correction complete. 3M: -14.9%,2026-03-17
Engineering Services,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,80.9,-15.65,-9.46,-4.3,-5.22,-9.46,-4.24,2,Underperforming and still falling (-4.2%/mo delta). Avoid — let correction complete. 3M: -15.7%,2026-03-17
Ferrous Metals,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-1.98,-9.29,-9.78,-1.18,-3.1,-9.78,-6.68,35,Underperforming and still falling (-6.7%/mo delta). Avoid — let correction complete. 3M: -9.3%,2026-03-17
Food Products,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-5.94,-13.3,-9.47,-0.71,-4.43,-9.47,-5.04,130,Underperforming and still falling (-5.0%/mo delta). Avoid — let correction complete. 3M: -13.3%,2026-03-17
Gas,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-6.4,-6.8,-6.26,0.31,-2.27,-6.26,-3.99,12,Underperforming and still falling (-4.0%/mo delta). Avoid — let correction complete. 3M: -6.8%,2026-03-17
Household Products,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-25.79,-11.5,-11.97,-1.81,-3.83,-11.97,-8.14,17,Underperforming and still falling (-8.1%/mo delta). Avoid — let correction complete. 3M: -11.5%,2026-03-17
Industrial Manufacturing,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-13.54,-13.42,-8.07,-1.04,-4.47,-8.07,-3.6,187,Underperforming and still falling (-3.6%/mo delta). Avoid — let correction complete. 3M: -13.4%,2026-03-17
Industrial Products,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-7.8,-11.91,-8.59,-0.36,-3.97,-8.59,-4.62,494,Underperforming and still falling (-4.6%/mo delta). Avoid — let correction complete. 3M: -11.9%,2026-03-17
